drugname,pt,count_a,prr,chi2
NOVOSEVEN RT,HAEMARTHROSIS,8,135824.9883750402,106137.08316863615
RAVICTI,AMMONIA INCREASED,3,101883.61863659846,84911.24997750936
NITROUS OXIDE,VITAMIN B COMPLEX DEFICIENCY,5,499999999.95,82532.42993068723
CARFILZOMIB,COLITIS ISCHAEMIC,4,499999999.93749994,78011.33589272296
WILATE - VON WILLEBRAND FACTOR/COAGULATION FACTOR VIII COMPLEX (HUMAN),HAEMORRHAGIC OVARIAN CYST,8,15674.831494798513,55104.591072261755
VIVITROL,INJECTION SITE INDURATION,12,55556.04425775164,47107.93997027437
ACCUTANE,HOMICIDE,32,209150326.79601863,41275.882029468805
INDOMETHACIN,PROCEDURAL PANCREATITIS,6,239999999.9904,41093.10319864135
FASENRA,DRUG SPECIFIC ANTIBODY PRESENT,4,249999999.98437497,39003.699161398836
TRIUMEQ,JOINT MICROHAEMORRHAGE,5,14151.27679938223,36841.11821161283
PEGASYS,PLATELET COUNT INCREASED,3,33961.859688480596,35377.4652520171
LISINOPRIL 5MG PO QD,HYPERKALAEMIA,8,5822.33752803199,33316.7221288378
ADYNOVATE,JOINT MICROHAEMORRHAGE,9,11460.97669421184,32856.26586412382
XYNTHA,FEEDING DISORDER,8,7277.572643304796,32557.105610459475
MINOCYCLINE,OPTIC DISC HAEMORRHAGE,8,177777777.77382717,31835.624743141285
LEMTRADA,HYPERTHYROIDISM,4,12736.525275673617,31202.171815870235
ROSVUSTATIN,HYPERTHYROIDISM,4,12736.525275673617,31202.171815870235
LEUPROLIDE,ACQUIRED HAEMOPHILIA,4,12736.525275673617,31202.171815870235
WARFARIN 10MG,KIDNEY TRANSPLANT REJECTION,12,3184.036736612457,29541.689920174253
MINOCYCLINE,PAPILLOEDEMA,8,36214.13262564043,28296.80527953748
GAMMAGARD S/D,TRANSIENT ISCHAEMIC ATTACK,8,4631.334143027886,26044.34635179313
ONE-A-DAY MULTI-VITAMIN,RENAL INJURY,4,10189.246175657192,26001.15358592688
MIFEPRISTONE,RETAINED PRODUCTS OF CONCEPTION,4,16980.71825347204,26000.132786950544
HUMATE,HAEMORRHOID OPERATION,4,12736.113072991711,26000.132786950544
ACORAMIDIS,ANTICOAGULATION DRUG LEVEL ABOVE THERAPEUTIC,4,12736.113072991711,26000.132786950544
BETNOVATE,STEROID DEPENDENCE,8,142857142.85459182,25580.633105725574
CEFAZOLIN,TIDAL VOLUME DECREASED,12,136363636.36208674,25511.644041698983
VONVENDI,HAEMORRHOID OPERATION,8,10723.295879054695,25129.859991999452
LOCATING,SUPERFICIAL VEIN THROMBOSIS,3,14556.073827064183,24971.83820472179
EMEND,SUPERFICIAL VEIN THROMBOSIS,3,14556.073827064183,24971.83820472179
DEFERASIROX,SICKLE CELL ANAEMIA WITH CRISIS,9,4366.455512160107,24166.10706126262
METHENAMINE,KIDNEY TRANSPLANT REJECTION,12,2547.1918895712224,23629.09982734588
TEA,PRODUCT LABEL COUNTERFEIT,3,166666666.65740737,23584.351821387834
SIKLOS,PRODUCT DISTRIBUTION ISSUE,8,5699.61469932025,23195.070817580407
SERMORELIN,LOCAL REACTION,4,142857142.8520408,22286.140564889396
ZOLOFT 50MD Q DAY,APPENDICITIS PERFORATED,6,8490.003335894655,21397.912316009762
ZOLOFT 50MD Q DAY,ABDOMINAL ABSCESS,6,8490.003335894655,21397.912316009762
